"AnimalID","Sex","DateofCapture","DateofRecapture","TeethWidth","TeethWidth2","GroupID","GroupSize","QueenID","GroupSizeRecapture","timediff","rateofincisorgrowth","CompleteCapture","CompleteRecapture"
"KR11M004","Male",2017-08-19,2018-03-17,5.485,6.26,"Kuruman 11",11,"KR11F001",15,210,0.003690476,1,1
"KR11F006","Female",2017-08-19,2018-03-17,5.065,5.75,"Kuruman 11",11,"KR11F001",15,210,0.003261905,1,1
"KR11M009","Male",2017-08-20,2018-03-18,3.705,5.7,"Kuruman 11",11,"KR11F001",15,210,0.0095,1,1
"KR11M010","Male",2017-08-20,2018-03-18,2.29,5.105,"Kuruman 11",11,"KR11F001",15,210,0.013404762,1,1
"KR11F007","Female",2017-08-19,2018-03-18,3.95,5.64,"Kuruman 11",11,"KR11F001",15,211,0.008009479,1,1
"KR11M011","Male",2017-08-20,2018-03-18,2.365,4.79,"Kuruman 11",11,"KR11F001",15,210,0.011547619,1,1
"KR11F002","Female",2017-08-19,2018-03-18,4.795,5.285,"Kuruman 11",11,"KR11F001",15,211,0.002322275,1,1
"KR11F008","Female",2017-08-20,2018-03-18,3.81,4.985,"Kuruman 11",11,"KR11F001",15,210,0.005595238,1,1
"KR11F003","Female",2017-08-19,2018-03-19,5.34,5.65,"Kuruman 11",11,"KR11F001",15,212,0.001462264,1,1
"KR11F015","Female",2018-03-20,2018-10-02,3.31,4.805,"Kuruman 11",15,"KR11F001",16,196,0.007627551,1,0
"KR11M012","Female",2018-03-18,2018-10-03,3.79,4.585,"Kuruman 11",15,"KR11F001",16,199,0.003994975,1,0
"KR11M011","Male",2018-03-18,2018-10-03,4.79,5.08,"Kuruman 11",15,"KR11F001",16,199,0.001457286,1,0
"KR11M009","Male",2018-03-18,2018-10-03,5.7,5.995,"Kuruman 11",15,"KR11F001",16,199,0.001482412,1,0
"KR11F002","Female",2018-03-18,2018-10-03,5.285,5.52,"Kuruman 11",15,"KR11F001",16,199,0.001180905,1,0
"KR11F008","Female",2018-03-18,2018-10-04,4.985,5.44,"Kuruman 11",15,"KR11F001",16,200,0.002275,1,0
"KR11M004","Male",2018-03-17,2018-10-06,6.26,6.595,"Kuruman 11",15,"KR11F001",16,203,0.001650246,1,0
"KR11M010","Male",2018-03-18,2018-10-10,5.105,5.715,"Kuruman 11",15,"KR11F001",16,206,0.002961165,1,0
"KR11F008","Female",2018-10-04,2019-03-13,5.44,5.585,"Kuruman 11",16,NA,22,160,0.00090625,0,0
"KR11F016","Female",2018-10-03,2019-03-13,3.47,4.34,"Kuruman 11",16,NA,22,161,0.005403727,0,0
"KR11M011","Male",2018-10-03,2019-03-13,5.08,5.865,"Kuruman 11",16,NA,22,161,0.004875776,0,0
"KR11M012","Female",2018-10-03,2019-03-13,4.585,5.4,"Kuruman 11",16,NA,22,161,0.005062112,0,0
"KR11M009","Male",2018-10-03,2019-03-13,5.995,6.975,"Kuruman 11",16,NA,22,161,0.006086957,0,0
"KR11F019","Female",2018-10-03,2019-03-14,3.8,4.575,"Kuruman 11",16,NA,22,162,0.004783951,0,0
"KR11F002","Female",2018-10-03,2019-03-14,5.52,5.795,"Kuruman 11",16,NA,22,162,0.001697531,0,0
"KR11M017","Male",2018-10-04,2019-03-14,3.89,5.44,"Kuruman 11",16,NA,22,161,0.009627329,0,0
"KR11M004","Male",2018-10-06,2019-03-14,6.595,6.54,"Kuruman 11",16,NA,22,159,-0.000345912,0,0
"KR11M014","Male",2018-03-20,2019-03-14,3.5,5.59,"Kuruman 11",15,"KR11F001",22,359,0.005821727,1,0
"KR11F015","Female",2018-10-02,2019-03-14,4.805,5.345,"Kuruman 11",16,NA,22,163,0.003312883,0,0
"KR11F019","Female",2019-03-14,2019-09-23,4.575,4.76,"Kuruman 11",22,"KR11F001",20,193,0.000958549,0,1
"KR11M023","Male",2019-03-14,2019-09-23,3.655,4.67,"Kuruman 11",22,"KR11F001",20,193,0.005259067,0,1
"KR11F006","Female",2019-03-13,2019-09-23,6.025,5.97,"Kuruman 11",22,"KR11F001",20,194,-0.000283505,0,1
"KR11M017","Male",2019-03-14,2019-09-23,5.44,5.305,"Kuruman 11",22,"KR11F001",20,193,-0.000699482,0,1
"KR11F015","Female",2019-03-14,2019-09-24,5.345,5.39,"Kuruman 11",22,"KR11F001",20,194,0.000231959,0,1
"KR11F016","Female",2019-03-13,2019-09-24,4.34,4.815,"Kuruman 11",22,"KR11F001",20,195,0.002435897,0,1
"KR11F021","Female",2019-03-13,2019-09-24,4.395,4.71,"Kuruman 11",22,"KR11F001",20,195,0.001615385,0,1
"KR11M011","Male",2019-03-13,2019-09-24,5.865,5.965,"Kuruman 11",22,"KR11F001",20,195,0.000512821,0,1
"KR11F008","Female",2019-03-13,2019-09-25,5.585,5.57,"Kuruman 11",22,"KR11F001",20,196,-7.65e-05,0,1
"KR11M020","Male",2019-03-13,2019-09-25,5.215,5.11,"Kuruman 11",22,"KR11F001",20,196,-0.000535714,0,1
"KR11F022","Female",2019-03-14,2019-09-25,3.605,4.62,"Kuruman 11",22,"KR11F001",20,195,0.005205128,0,1
"KR11M004","Male",2019-03-14,2019-09-25,6.54,6.555,"Kuruman 11",22,"KR11F001",20,195,7.69e-05,0,1
"KR11M014","Male",2019-03-14,2019-09-25,5.59,5.715,"Kuruman 11",22,"KR11F001",20,195,0.000641026,0,1
"KR11M012","Female",2019-03-13,2019-09-25,5.4,5.415,"Kuruman 11",22,"KR11F001",20,196,7.65e-05,0,1
"KR11F013","Female",2019-03-13,2019-09-26,5.33,5.165,"Kuruman 11",22,"KR11F001",20,197,-0.000837563,0,1
"KR11M010","Male",2019-03-14,2019-09-26,6.125,6.315,"Kuruman 11",22,"KR11F001",20,196,0.000969388,0,1
"KR11M024","Male",2019-03-14,2019-09-27,3.585,4.355,"Kuruman 11",22,"KR11F001",20,197,0.003908629,0,1
"KR11M009","Male",2019-09-24,2020-03-30,6.535,6.42,"Kuruman 11",20,"KR11F001",17,188,-0.000611702,1,1
"KR11M012","Female",2019-09-25,2020-03-30,5.415,5.32,"Kuruman 11",20,"KR11F001",17,187,-0.000508021,1,1
"KR11M014","Male",2019-09-25,2020-03-30,5.715,5.62,"Kuruman 11",20,"KR11F001",17,187,-0.000508021,1,1
