"AnimalID","Sex","DateofCapture","DateofRecapture","weight","weight2","GroupID","GroupSize","QueenID","GroupSizeRecapture","timediff","rateofbodymassgrowth","CompleteCapture","CompleteRecapture"
"KR11M004","Male",2018-03-17,2018-10-06,164,170,"Kuruman 11",15,"KR11F001",16,203,0.02955665,1,0
"KR11F008","Female",2018-10-04,2019-03-13,121,122,"Kuruman 11",16,NA,22,160,0.00625,0,0
"KR11F016","Female",2018-10-03,2019-03-13,47,79,"Kuruman 11",16,NA,22,161,0.198757764,0,0
"KR11F007","Female",2018-10-05,2019-03-13,123,128,"Kuruman 11",16,NA,22,159,0.031446541,0,0
"KR11M011","Male",2018-10-03,2019-03-13,117,139,"Kuruman 11",16,NA,22,161,0.136645963,0,0
"KR11M012","Female",2018-10-03,2019-03-13,89,100,"Kuruman 11",16,NA,22,161,0.068322981,0,0
"KR11F006","Female",2018-10-02,2019-03-13,137,142,"Kuruman 11",16,NA,22,162,0.030864198,0,0
"KR11M009","Male",2018-10-03,2019-03-13,152,183,"Kuruman 11",16,NA,22,161,0.192546584,0,0
"KR11F013","Female",2018-10-07,2019-03-13,77,92,"Kuruman 11",16,NA,22,157,0.095541401,0,0
"KR11F019","Female",2018-10-03,2019-03-14,49,80,"Kuruman 11",16,NA,22,162,0.191358025,0,0
"KR11F002","Female",2018-10-03,2019-03-14,119,133,"Kuruman 11",16,NA,22,162,0.086419753,0,0
"KR11M017","Male",2018-10-04,2019-03-14,54,92,"Kuruman 11",16,NA,22,161,0.236024845,0,0
"KR11M004","Male",2018-10-06,2019-03-14,170,178,"Kuruman 11",16,NA,22,159,0.050314465,0,0
"KR11M014","Male",2018-03-20,2019-03-14,48,111,"Kuruman 11",15,"KR11F001",22,359,0.175487465,1,0
"KR11F015","Female",2018-10-02,2019-03-14,91,115,"Kuruman 11",16,NA,22,163,0.147239264,0,0
"KR11F019","Female",2019-03-14,2019-09-23,80,74,"Kuruman 11",22,"KR11F001",20,193,-0.031088083,0,1
"KR11M023","Male",2019-03-14,2019-09-23,50,66,"Kuruman 11",22,"KR11F001",20,193,0.082901554,0,1
"KR11F006","Female",2019-03-13,2019-09-23,142,121,"Kuruman 11",22,"KR11F001",20,194,-0.108247423,0,1
"KR11M017","Male",2019-03-14,2019-09-23,92,87,"Kuruman 11",22,"KR11F001",20,193,-0.025906736,0,1
"KR11F015","Female",2019-03-14,2019-09-24,115,99,"Kuruman 11",22,"KR11F001",20,194,-0.082474227,0,1
"KR11F016","Female",2019-03-13,2019-09-24,79,74,"Kuruman 11",22,"KR11F001",20,195,-0.025641026,0,1
"KR11F021","Female",2019-03-13,2019-09-24,70,70,"Kuruman 11",22,"KR11F001",20,195,0,0,1
"KR11M011","Male",2019-03-13,2019-09-24,139,117,"Kuruman 11",22,"KR11F001",20,195,-0.112820513,0,1
"KR11M009","Male",2019-03-13,2019-09-24,183,137,"Kuruman 11",22,"KR11F001",20,195,-0.235897436,0,1
"KR11F008","Female",2019-03-13,2019-09-25,122,111,"Kuruman 11",22,"KR11F001",20,196,-0.056122449,0,1
"KR11M020","Male",2019-03-13,2019-09-25,79,82,"Kuruman 11",22,"KR11F001",20,196,0.015306122,0,1
"KR11F022","Female",2019-03-14,2019-09-25,55,71,"Kuruman 11",22,"KR11F001",20,195,0.082051282,0,1
"KR11M004","Male",2019-03-14,2019-09-25,178,147,"Kuruman 11",22,"KR11F001",20,195,-0.158974359,0,1
"KR11M014","Male",2019-03-14,2019-09-25,111,101,"Kuruman 11",22,"KR11F001",20,195,-0.051282051,0,1
"KR11M012","Female",2019-03-13,2019-09-25,100,90,"Kuruman 11",22,"KR11F001",20,196,-0.051020408,0,1
"KR11F013","Female",2019-03-13,2019-09-26,92,79,"Kuruman 11",22,"KR11F001",20,197,-0.065989848,0,1
"KR11M010","Male",2019-03-14,2019-09-26,159,133,"Kuruman 11",22,"KR11F001",20,196,-0.132653061,0,1
"KR11M024","Male",2019-03-14,2019-09-27,46,64,"Kuruman 11",22,"KR11F001",20,197,0.091370558,0,1
"KR11M009","Male",2019-09-24,2020-03-30,137,126,"Kuruman 11",20,"KR11F001",17,188,-0.058510638,1,1
"KR11M012","Female",2019-09-25,2020-03-30,90,90,"Kuruman 11",20,"KR11F001",17,187,0,1,1
"KR11M014","Male",2019-09-25,2020-03-30,101,93,"Kuruman 11",20,"KR11F001",17,187,-0.042780749,1,1
"KR11F021","Female",2019-09-24,2020-03-31,70,75,"Kuruman 11",20,"KR11F001",17,189,0.026455026,1,1
"KR11M017","Male",2019-09-23,2020-03-31,87,82,"Kuruman 11",20,"KR11F001",17,190,-0.026315789,1,1
"KR11F013","Female",2019-09-26,2020-03-31,79,84,"Kuruman 11",20,"KR11F001",17,187,0.026737968,1,1
"KR11F019","Female",2019-09-23,2020-03-31,74,78,"Kuruman 11",20,"KR11F001",17,190,0.021052632,1,1
"KR11M023","Male",2019-09-23,2020-03-31,66,65,"Kuruman 11",20,"KR11F001",17,190,-0.005263158,1,1
"KR11F015","Female",2019-09-24,2020-03-31,99,104,"Kuruman 11",20,"KR11F001",17,189,0.026455026,1,1
"KR11F008","Female",2019-09-25,2020-04-01,111,104,"Kuruman 11",20,"KR11F001",17,189,-0.037037037,1,1
"KR11F022","Female",2019-09-25,2020-04-01,71,76,"Kuruman 11",20,"KR11F001",17,189,0.026455026,1,1
"KR11M010","Male",2019-09-26,2020-04-01,133,132,"Kuruman 11",20,"KR11F001",17,188,-0.005319149,1,1
"KR11F016","Female",2019-09-24,2020-04-01,74,85,"Kuruman 11",20,"KR11F001",17,190,0.057894737,1,1
"KR11M004","Male",2019-09-25,2020-04-01,147,135,"Kuruman 11",20,"KR11F001",17,189,-0.063492063,1,1
"KR11M011","Male",2019-09-24,2020-04-01,117,112,"Kuruman 11",20,"KR11F001",17,190,-0.026315789,1,1
"KR13M005","Male",2014-01-23,2014-08-05,105,139,"Kuruman 13",26,"KR13F013",21,194,0.175257732,1,1
"KR13M008","Male",2014-01-23,2014-08-05,113,136,"Kuruman 13",26,"KR13F013",21,194,0.118556701,1,1
"KR13M022","Male",2014-01-26,2014-08-05,100,121,"Kuruman 13",26,"KR13F013",21,191,0.109947644,1,1
"KR13F006","Female",2014-01-23,2014-08-06,108,105,"Kuruman 13",26,"KR13F013",21,195,-0.015384615,1,1
"KR13F016","Female",2014-01-24,2014-08-06,95,118,"Kuruman 13",26,"KR13F013",21,194,0.118556701,1,1
"KR13F019","Female",2014-01-25,2014-08-06,78,117,"Kuruman 13",26,"KR13F013",21,193,0.202072539,1,1
"KR13F020","Female",2014-01-25,2014-08-06,31,102,"Kuruman 13",26,"KR13F013",21,193,0.367875648,1,1
"KR13F021","Female",2014-01-26,2014-08-06,74,90,"Kuruman 13",26,"KR13F013",21,192,0.083333333,1,1
"KR13M004","Male",2014-01-23,2014-08-06,210,191,"Kuruman 13",26,"KR13F013",21,195,-0.097435897,1,1
"KR13M012","Male",2014-01-24,2014-08-06,104,130,"Kuruman 13",26,"KR13F013",21,194,0.134020619,1,1
"KR13M015","Male",2014-01-24,2014-08-06,89,106,"Kuruman 13",26,"KR13F013",21,194,0.087628866,1,1
"KR13M024","Male",2014-01-27,2014-08-06,33,99,"Kuruman 13",26,"KR13F013",21,191,0.345549738,1,1
"KR13M026","Male",2014-01-28,2014-08-07,35,97,"Kuruman 13",26,"KR13F013",21,191,0.32460733,1,1
"KR13F019","Female",2014-08-06,2015-02-10,117,129,"Kuruman 13",21,"KR13F013",23,188,0.063829787,1,1
"KR13F020","Female",2014-08-06,2015-02-10,102,108,"Kuruman 13",21,"KR13F013",23,188,0.031914894,1,1
"KR13F027","Female",2014-08-08,2015-02-10,35,82,"Kuruman 13",21,"KR13F013",23,186,0.252688172,1,1
"KR13F028","Female",2014-08-08,2015-02-10,33,81,"Kuruman 13",21,"KR13F013",23,186,0.258064516,1,1
"KR13M004","Male",2014-08-06,2015-02-10,191,197,"Kuruman 13",21,"KR13F013",23,188,0.031914894,1,1
"KR13M005","Male",2014-08-05,2015-02-10,139,164,"Kuruman 13",21,"KR13F013",23,189,0.132275132,1,1
"KR13M022","Male",2014-08-05,2015-02-10,121,148,"Kuruman 13",21,"KR13F013",23,189,0.142857143,1,1
"KR13M024","Male",2014-08-06,2015-02-10,99,128,"Kuruman 13",21,"KR13F013",23,188,0.154255319,1,1
"KR13M026","Male",2014-08-07,2015-02-10,97,123,"Kuruman 13",21,"KR13F013",23,187,0.139037433,1,1
"KR13M030","Male",2014-08-08,2015-02-10,39,86,"Kuruman 13",21,"KR13F013",23,186,0.252688172,1,1
"KR13M015","Male",2014-08-06,2015-02-10,106,126,"Kuruman 13",21,"KR13F013",23,188,0.106382979,1,1
"KR13M008","Male",2014-08-05,2015-02-11,136,155,"Kuruman 13",21,"KR13F013",23,190,0.1,1,1
"KR13M012","Male",2014-08-06,2015-02-11,130,140,"Kuruman 13",21,"KR13F013",23,189,0.052910053,1,1
"KR13M031","Male",2014-08-08,2015-02-11,35,84,"Kuruman 13",21,"KR13F013",23,187,0.262032086,1,1
"KR13M030","Male",2015-02-10,2015-09-20,86,137,"Kuruman 13",23,"KR13F013",22,222,0.22972973,1,1
"KR13M031","Male",2015-02-11,2015-09-20,84,140,"Kuruman 13",23,"KR13F013",22,221,0.253393665,1,1
"KR13F019","Female",2015-02-10,2015-09-22,129,147,"Kuruman 13",23,"KR13F013",22,224,0.080357143,1,1
"KR13F037","Female",2015-02-13,2015-09-22,19,65,"Kuruman 13",23,"KR13F013",22,221,0.208144796,1,1
"KR13M033","Male",2015-02-11,2015-09-22,23,81,"Kuruman 13",23,"KR13F013",22,223,0.260089686,1,1
"KR13F034","Female",2015-02-12,2015-09-22,28,82,"Kuruman 13",23,"KR13F013",22,222,0.243243243,1,1
"KR13M032","Male",2015-02-12,2015-09-23,29,96,"Kuruman 13",23,"KR13F013",22,223,0.30044843,1,1
"KR13M036","Male",2015-02-13,2015-09-23,22,81,"Kuruman 13",23,"KR13F013",22,222,0.265765766,1,1
"KR13F028","Female",2015-02-10,2015-09-23,81,100,"Kuruman 13",23,"KR13F013",22,225,0.084444444,1,1
