"AnimalID","GroupID","Location","TrappingPeriod","DateofCapture","CaptureStart","GroupSize","Sex","weight","firstcapturedate","Time.days","Time.years","statecode","BodyLength"
"KR3F001","Kuruman 3","KRR",1,2013-12-30,"28/12/2013",1,"Female",120,"30/12/2013",0,0,"single",17.7
"KR42F001","Kuruman 42","KRR",13,2020-03-14,"08/03/2020",7,"Female",103,"17/10/2018",514,1.407255305,"femalenonbreeder",16.25
"KR42F005","Kuruman 42","KRR",13,2020-03-10,"08/03/2020",7,"Female",88,"09/10/2019",153,0.41889117,"femalenonbreeder",16.6
"KR43F002","Kuruman 43","KRR",12,2019-09-16,"16/09/2019",7,"Female",96,"27/11/2018",293,0.802190281,"femalenonbreeder",16.95
"KR43F002","Kuruman 43","KRR",13,2020-03-16,"16/03/2020",10,"Female",110,"27/11/2018",475,1.300479124,"femalenonbreeder",17.4
"KR45F001","Kuruman 45","KRR",11,2019-04-01,"01/04/2019",1,"Female",109,"01/04/2019",0,0,"single",17.25
"KR46F001","Kuruman 46","KRR",11,2019-04-03,"02/04/2019",1,"Female",119,"03/04/2019",0,0,"single",16.95
"KR46F001","Kuruman 46","KRR",13,2020-05-20,"20/05/2020",1,"Female",128,"03/04/2019",413,1.130732375,"single",17.35
"KR47F001","Kuruman 47","KRR",12,2019-10-21,"21/10/2019",1,"Female",116,"21/10/2019",0,0,"single",17.75
"KR47F001","Kuruman 47","KRR",13,2020-03-26,"26/03/2020",1,"Female",127,"21/10/2019",157,0.429842574,"single",17.55
"KR49F003","Kuruman 49","KRR",12,2019-10-28,"28/10/2019",17,"Female",117,"28/10/2019",0,0,"femalenonbreeder",18.3
"KR49F005","Kuruman 49","KRR",12,2019-10-28,"28/10/2019",17,"Female",109,"28/10/2019",0,0,"femalenonbreeder",17.4
"KR49F006","Kuruman 49","KRR",12,2019-10-28,"28/10/2019",17,"Female",111,"28/10/2019",0,0,"femalenonbreeder",17.4
"KR49F012","Kuruman 49","KRR",12,2019-10-29,"28/10/2019",17,"Female",107,"29/10/2019",0,0,"femalenonbreeder",16.95
