"AnimalID","GroupID","Location","TrappingPeriod","DateofCapture","CaptureStart","CaptureEnd","GroupSize","Sex","weight","Rainfall","firstcapturedate","censor","Time.days","Time.years","statecode","state","id"
"KR13F028","Kuruman 13","KRR",3,"10/02/2015",2015-02-10,"13/02/2015",23,"Female",81,60.89109671,2014-08-05,NA,189,0.517453799,"ingroupnonbreeder","1","25"
"KR13F028","Kuruman 13","KRR",4,"23/09/2015",2015-09-20,"24/09/2015",22,"Female",100,8.396498455,2014-08-05,NA,414,1.133470226,"ingroupnonbreeder","1","25"
"KR13F028",NA,"KRR",NA,"04/02/2016",2016-02-04,NA,NA,"Female",NA,NA,2014-08-05,NA,548,1.500342231,"Disappeared","2","25"
"L13F017","Lonely 13","Lonely",3,"19/09/2014",2014-09-16,"19/09/2014",8,"Female",15,6.702013991,2014-09-16,NA,0,0,"ingroupnonbreeder","1","26"
"L13F017",NA,"Lonely",NA,"29/01/2015",2015-01-29,NA,8,NA,NA,NA,2014-09-16,NA,135,0.369609856,"Disappeared","2","26"
"L15F003","Lonely 15","Lonely",3,"10/10/2014",2014-10-09,"10/10/2014",3,"Female",18,12.20183183,2014-10-09,NA,0,0,"ingroupnonbreeder","1","27"
"L15F003","Lonely 15","Lonely",4,"23/03/2015",2015-03-23,"23/03/2015",3,"Female",58,108.703723,2014-10-09,NA,165,0.45174538,"ingroupnonbreeder","1","27"
"L15F003","Lonely 15","Lonely",5,"26/02/2016",2016-02-24,"27/02/2016",7,"Female",102,111.7311443,2014-10-09,NA,505,1.382614648,"ingroupnonbreeder","1","27"
"L15F003",NA,"Lonely",NA,"09/09/2016",2016-09-09,NA,7,NA,NA,NA,2014-10-09,NA,701,1.919233402,"Disappeared","2","27"
"L16F004","Lonely 16","Lonely",3,"11/10/2014",2014-10-09,"11/10/2014",8,"Female",16,12.20183183,2014-10-09,NA,0,0,"ingroupnonbreeder","1","28"
"L16F004",NA,"Lonely",NA,"29/01/2015",2015-01-29,NA,8,NA,NA,NA,2014-10-09,NA,112,0.306639288,"Disappeared","2","28"
"L16F006","Lonely 16","Lonely",3,"11/10/2014",2014-10-09,"11/10/2014",8,"Female",17,12.20183183,2014-10-09,NA,0,0,"ingroupnonbreeder","1","29"
"L16F006",NA,"Lonely",NA,"29/01/2015",2015-01-29,NA,8,NA,NA,NA,2014-10-09,NA,112,0.306639288,"Disappeared","2","29"
"L16F007","Lonely 16","Lonely",3,"11/10/2014",2014-10-09,"11/10/2014",8,"Female",21,12.20183183,2014-10-09,NA,0,0,"ingroupnonbreeder","1","30"
"L16F007","Lonely 25","Lonely",6,"22/09/2016",2016-09-22,"22/09/2016",3,"Female",131,4.678070845,2014-10-09,NA,714,1.954825462,"Disappeared","2","30"
"L14F016","Lonely 14","Lonely",4,"30/01/2015",2015-01-29,"31/01/2015",8,"Female",27,72.65603459,2015-01-29,NA,0,0,"ingroupnonbreeder","1","31"
"L14F016","Lonely 14","Lonely",5,"10/02/2016",2016-02-08,"11/02/2016",12,"Female",90,111.7311443,2015-01-29,NA,377,1.032169747,"ingroupnonbreeder","1","31"
"L14F016",NA,"Lonely",NA,"09/09/2016",2016-09-09,NA,12,NA,NA,NA,2015-01-29,NA,589,1.612594114,"Disappeared","2","31"
"L14F017","Lonely 14","Lonely",4,"30/01/2015",2015-01-29,"31/01/2015",8,"Female",29,72.65603459,2015-01-29,NA,0,0,"ingroupnonbreeder","1","32"
"L14F017","Lonely 14","Lonely",5,"11/02/2016",2016-02-08,"11/02/2016",12,"Female",NA,111.7311443,2015-01-29,NA,378,1.034907598,"ingroupnonbreeder","1","32"
"L14F017",NA,"Lonely",NA,"09/09/2016",2016-09-09,NA,12,NA,NA,NA,2015-01-29,NA,589,1.612594114,"Disappeared","2","32"
"L14F018","Lonely 14","Lonely",4,"30/01/2015",2015-01-29,"31/01/2015",8,"Female",60,72.65603459,2015-01-29,NA,0,0,"ingroupnonbreeder","1","33"
"L14F018","Lonely 14","Lonely",5,"09/02/2016",2016-02-08,"11/02/2016",12,"Female",107,111.7311443,2015-01-29,NA,376,1.029431896,"ingroupnonbreeder","1","33"
"L14F018",NA,"Lonely",NA,"09/09/2016",2016-09-09,NA,12,NA,NA,NA,2015-01-29,NA,589,1.612594114,"Disappeared","2","33"
"L14F019","Lonely 14","Lonely",4,"31/01/2015",2015-01-29,"31/01/2015",8,"Female",26,72.65603459,2015-01-29,NA,0,0,"ingroupnonbreeder","1","34"
"L14F019",NA,"Lonely",NA,"08/02/2016",2016-02-08,NA,8,NA,NA,NA,2015-01-29,NA,375,1.026694045,"Disappeared","2","34"
"KR13F034","Kuruman 13","KRR",3,"12/02/2015",2015-02-10,"13/02/2015",23,"Female",28,60.89109671,2015-02-10,NA,0,0,"ingroupnonbreeder","1","35"
"KR13F034","Kuruman 13","KRR",4,"22/09/2015",2015-09-20,"24/09/2015",22,"Female",82,8.396498455,2015-02-10,NA,224,0.613278576,"ingroupnonbreeder","1","35"
"KR13F034","Kuruman 13","KRR",5,"13/04/2016",2016-04-12,"16/04/2016",24,"Female",108,116.8075972,2015-02-10,NA,428,1.171800137,"ingroupnonbreeder","1","35"
"KR13F034",NA,"KRR",NA,"25/07/2016",2016-07-25,NA,NA,"Female",NA,NA,2015-02-10,NA,531,1.453798768,"Disappeared","2","35"
"KR13F035","Kuruman 13","KRR",3,"12/02/2015",2015-02-10,"13/02/2015",23,"Female",22,60.89109671,2015-02-10,NA,0,0,"ingroupnonbreeder","1","36"
"KR13F035","Kuruman 13","KRR",4,"24/09/2015",2015-09-20,"24/09/2015",22,"Female",77,8.396498455,2015-02-10,NA,226,0.618754278,"ingroupnonbreeder","1","36"
"KR13F035","Kuruman 13","KRR",5,"14/04/2016",2016-04-12,"16/04/2016",24,"Female",91,116.8075972,2015-02-10,NA,429,1.174537988,"ingroupnonbreeder","1","36"
"KR13F035",NA,"KRR",NA,"25/07/2016",2016-07-25,NA,NA,"Female",NA,NA,2015-02-10,NA,531,1.453798768,"Disappeared","2","36"
"KR13F037","Kuruman 13","KRR",3,"13/02/2015",2015-02-10,"13/02/2015",23,"Female",19,60.89109671,2015-02-10,NA,0,0,"ingroupnonbreeder","1","37"
"KR13F037","Kuruman 13","KRR",4,"22/09/2015",2015-09-20,"24/09/2015",22,"Female",65,8.396498455,2015-02-10,NA,224,0.613278576,"ingroupnonbreeder","1","37"
"KR13F037","Kuruman 13","KRR",5,"13/04/2016",2016-04-12,"16/04/2016",24,"Female",84,116.8075972,2015-02-10,NA,428,1.171800137,"ingroupnonbreeder","1","37"
"KR13F037","Kuruman 15","KRR",6,"06/09/2016",2016-09-05,"06/09/2016",1,"Female",93,4.678070845,2015-02-10,NA,574,1.571526352,"Disappeared","2","37"
"L13F020","Lonely 13","Lonely",4,"27/03/2015",2015-03-26,"28/03/2015",8,"Female",28,108.703723,2015-03-26,NA,0,0,"ingroupnonbreeder","1","38"
"L13F020","Lonely 13","Lonely",5,"23/02/2016",2016-02-22,"28/02/2016",12,"Female",87,111.7311443,2015-03-26,NA,334,0.914442163,"ingroupnonbreeder","1","38"
"L13F020","Lonely 19","Lonely",6,"06/10/2016",2016-10-06,"06/10/2016",1,"Female",102,7.862713041,2015-03-26,NA,560,1.533196441,"Disappeared","2","38"
"L13F021","Lonely 13","Lonely",4,"27/03/2015",2015-03-26,"28/03/2015",8,"Female",33,108.703723,2015-03-26,NA,0,0,"ingroupnonbreeder","1","39"
"L13F021","Lonely 13","Lonely",5,"23/02/2016",2016-02-22,"28/02/2016",12,"Female",100,111.7311443,2015-03-26,NA,334,0.914442163,"ingroupnonbreeder","1","39"
"L13F021",NA,"Lonely",NA,"09/09/2016",2016-09-09,NA,12,NA,NA,NA,2015-03-26,NA,533,1.45927447,"Disappeared","2","39"
"KR13F038","Kuruman 13","KRR",4,"21/09/2015",2015-09-20,"24/09/2015",22,"Female",32,8.396498455,2015-09-20,NA,0,0,"ingroupnonbreeder","1","40"
"KR13F038","Kuruman 13","KRR",5,"14/04/2016",2016-04-12,"16/04/2016",24,"Female",79,116.8075972,2015-09-20,NA,207,0.566735113,"ingroupnonbreeder","1","40"
"KR13F038","Kuruman 13","KRR",8,"15/08/2017",2017-08-14,"16/08/2017",2,"Female",156,1.34743409,2015-09-20,NA,695,1.902806297,"ingroupnonbreeder","1","40"
"KR13F038","Kuruman 43","KRR",10,"25/11/2018",2018-11-22,"27/11/2018",5,"Female",160,17.16380656,2015-09-20,NA,1162,3.181382615,"Disappeared","2","40"
"KR13F039","Kuruman 13","KRR",4,"21/09/2015",2015-09-20,"24/09/2015",22,"Female",76,8.396498455,2015-09-20,NA,0,0,"ingroupnonbreeder","1","41"
"KR13F039","Kuruman 13","KRR",5,"13/04/2016",2016-04-12,"16/04/2016",24,"Female",92,116.8075972,2015-09-20,NA,206,0.563997262,"ingroupnonbreeder","1","41"
"KR13F039",NA,"KRR",NA,"25/07/2016",2016-07-25,NA,NA,"Female",NA,NA,2015-09-20,NA,309,0.845995893,"Disappeared","2","41"
"KR13F040","Kuruman 13","KRR",4,"21/09/2015",2015-09-20,"24/09/2015",22,"Female",74,8.396498455,2015-09-20,NA,0,0,"ingroupnonbreeder","1","42"
"KR13F040","Kuruman 13","KRR",5,"12/04/2016",2016-04-12,"16/04/2016",24,"Female",98,116.8075972,2015-09-20,NA,205,0.561259411,"ingroupnonbreeder","1","42"
"KR13F040","Kuruman 35","KRR",7,"02/05/2017",2017-05-02,"02/05/2017",1,"Female",111,165.7772941,2015-09-20,NA,590,1.615331964,"Disappeared","2","42"
"KR13F042","Kuruman 13","KRR",4,"22/09/2015",2015-09-20,"24/09/2015",22,"Female",67,8.396498455,2015-09-20,NA,0,0,"ingroupnonbreeder","1","43"
"KR13F042","Kuruman 13","KRR",5,"13/04/2016",2016-04-12,"16/04/2016",24,"Female",83,116.8075972,2015-09-20,NA,206,0.563997262,"ingroupnonbreeder","1","43"
"KR13F042",NA,"KRR",NA,"25/07/2016",2016-07-25,NA,NA,"Female",NA,NA,2015-09-20,NA,309,0.845995893,"Disappeared","2","43"
"KR13F043","Kuruman 13","KRR",4,"22/09/2015",2015-09-20,"24/09/2015",22,"Female",59,8.396498455,2015-09-20,NA,0,0,"ingroupnonbreeder","1","44"
"KR13F043","Kuruman 13","KRR",5,"12/04/2016",2016-04-12,"16/04/2016",24,"Female",79,116.8075972,2015-09-20,NA,205,0.561259411,"ingroupnonbreeder","1","44"
"KR13F043","Kuruman 34","KRR",7,"02/05/2017",2017-05-02,"04/05/2017",2,"Female",NA,165.7772941,2015-09-20,NA,590,1.615331964,"Disappeared","2","44"
"KR13F044","Kuruman 13","KRR",4,"23/09/2015",2015-09-20,"24/09/2015",22,"Female",34,8.396498455,2015-09-20,NA,0,0,"ingroupnonbreeder","1","45"
"KR13F044",NA,"KRR",NA,"04/02/2016",2016-02-04,NA,NA,"Female",NA,NA,2015-09-20,NA,137,0.375085558,"Disappeared","2","45"
"L14F021","Lonely 14","Lonely",5,"08/02/2016",2016-02-08,"11/02/2016",12,"Female",53,111.7311443,2016-02-08,NA,0,0,"ingroupnonbreeder","1","46"
