GroupID,GroupCaptureStartDate,FirstCaptureOfGroup,DaysSinceFirstGroupCap,TimeToNextCap,QueenWeight,GroupSizeAtFirstCapture,CapRecapNumber,NewRecruits,WithinGroupRecruits,AdultNewRecruits,withingrouprecruitmentrate.6mo,withingrouprecruitmentrate.6mo.adults,Rainfall1,Rainfall2,Rainfall3,Rainfall4,Rainfall5,Rainfall6,GroupSizeRecap,GroupSizeRecapWoutRecruits,AvgGroupSize,AvgGroupSizeWoutRecruits,QueenID,KingID,CompleteCapture,QueenPresent,KingPresent,BothBreedersPresent,Location
Lonely 14,16/09/2014,01/03/2014,199,135,124,8,2,5,4,3,5.333333333,4,308.1603905,9.314723784,25.68003254,79.4097375,17.4874418,19.85243437,NA,NA,NA,NA,L14F013,L14M001,1,1,1,1,LonelyA
Lonely 14,09/09/2016,01/03/2014,923,263,122,9,5,4,4,NA,2.737642586,NA,229.328245,6.147760781,19.11068708,304.8766383,21.05388355,38.10957979,NA,NA,NA,NA,L14F013,L11M001,1,1,1,1,LonelyA
Lonely 15,07/03/2014,07/03/2014,0,216,105,2,1,1,1,1,0.833333333,0.833333333,287.6448474,6.215610015,23.97040395,38.42073592,3.718804922,5.48867656,NA,NA,NA,NA,L15F002,L15M001,1,1,1,1,LonelyA
Lonely 15,09/10/2014,07/03/2014,216,165,104,3,2,0,0,0,0,0,313.2476822,10.46686513,26.10397352,158.0331575,27.56281562,31.60663149,NA,NA,NA,NA,L15F002,L15M001,1,1,1,1,LonelyA
Lonely 15,23/03/2015,07/03/2014,381,338,113,3,3,5,4,4,2.130177515,2.130177515,196.4538934,8.567816174,16.37115778,155.025814,4.29920023,14.09325582,NA,NA,NA,NA,L15F002,L15M001,1,1,1,1,LonelyA
Lonely 15,24/02/2016,07/03/2014,719,198,121,7,4,2,2,NA,1.818181818,NA,223.6659851,5.41568708,18.63883209,112.3349883,4.782619665,16.04785547,NA,NA,NA,NA,L15F002,L13M016,1,1,1,1,LonelyA
Lonely 15,09/09/2016,07/03/2014,917,269,134,8,5,2,2,NA,1.338289963,NA,229.328245,6.147760781,19.11068708,305.5094636,14.26315908,33.94549595,NA,NA,NA,NA,L15F002,L13M016,1,1,1,1,LonelyA
Lonely 16,12/03/2014,12/03/2014,0,211,126,2,1,6,5,1,4.265402844,0.853080569,287.6448474,6.215610015,23.97040395,38.42073592,3.718804922,5.48867656,NA,NA,NA,NA,L16F001,L16M002,1,1,1,1,LonelyA
Lonely 16,16/09/2016,12/03/2014,919,284,139,9,3,4,4,NA,2.535211268,NA,229.328245,6.147760781,19.11068708,305.5094636,14.26315908,33.94549595,NA,NA,NA,NA,L16F001,L13M003,1,1,1,1,LonelyA
Lonely 18,11/03/2014,11/03/2014,0,203,94,14,1,0,0,0,0,0,287.6448474,6.215610015,23.97040395,31.66703301,3.366771467,5.277838835,NA,NA,NA,NA,L18F002,L18M001,1,1,1,1,LonelyA
Lonely 18,29/02/2016,11/03/2014,720,200,124,5,3,1,0,NA,0,NA,223.6659851,5.41568708,18.63883209,112.3349883,4.782619665,16.04785547,NA,NA,NA,NA,L18F002,L18M001,1,1,1,1,LonelyA
Lonely 18,16/09/2016,11/03/2014,920,284,118,3,4,4,4,NA,2.535211268,NA,229.328245,6.147760781,19.11068708,305.5094636,14.26315908,33.94549595,NA,NA,NA,NA,L18F002,L18M015,1,1,1,1,LonelyA
Lonely 20,06/10/2016,06/10/2016,0,287,129,11,1,4,3,NA,1.881533101,NA,233.1424517,6.69991285,19.42853764,299.9555438,10.48430321,33.32839376,NA,NA,NA,NA,L20F010,L13M011,1,1,1,1,LonelyA
Lonely 26,06/10/2016,06/10/2016,0,280,109,10,1,4,3,NA,1.928571429,NA,233.1424517,6.69991285,19.42853764,299.9555438,10.48430321,33.32839376,NA,NA,NA,NA,L26F007,L26M003,1,1,1,1,LonelyA
Lonely 46,29/02/2016,31/03/2014,700,200,123,10,3,4,4,NA,3.6,NA,223.6659851,5.41568708,18.63883209,112.3349883,4.782619665,16.04785547,NA,NA,NA,NA,L46F002,L46M001,1,1,1,1,LonelyA
Lonely 46,16/09/2016,31/03/2014,900,284,122,10,4,5,5,NA,3.169014085,NA,229.328245,6.147760781,19.11068708,305.5094636,14.26315908,33.94549595,NA,NA,NA,NA,L46F002,L46M001,1,1,1,1,LonelyA
Lonely 48,22/09/2016,17/05/2014,859,272,126,6,2,5,4,NA,2.647058824,NA,229.328245,6.147760781,19.11068708,305.5094636,14.26315908,33.94549595,NA,NA,NA,NA,L48F001,L14M010,1,1,1,1,LonelyA
Lonely 62,08/02/2016,29/01/2015,375,214,133,6,2,0,0,0,0,0,223.6659851,5.41568708,18.63883209,112.3349883,4.782619665,16.04785547,NA,NA,NA,NA,L14F004,L14M002,1,1,1,1,LonelyA
Lonely 62,09/09/2016,29/01/2015,589,269,139,6,3,2,2,NA,1.338289963,NA,229.328245,6.147760781,19.11068708,305.5094636,14.26315908,33.94549595,NA,NA,NA,NA,L14F004,L14M002,1,1,1,1,LonelyA
