AnimalID,Sex,DateofCapture,DateofRecapture,weight,weight2,GroupID,GroupSize,QueenID,GroupSizeRecapture,timediff,rateofbodymassgrowth
L15F003,Female,23/03/2015,26/02/2016,58,102,Lonely 15,3,L15F002,7,340,0.129411765
L15F005,Female,25/02/2016,09/09/2016,39,88,Lonely 15,7,L15F002,8,197,0.248730964
L15F005,Female,09/09/2016,05/06/2017,88,101,Lonely 15,8,L15F002,10,269,0.048327138
L15F006,Female,27/02/2016,09/09/2016,41,87,Lonely 15,7,L15F002,8,195,0.235897436
L15F006,Female,09/09/2016,05/06/2017,87,89,Lonely 15,8,L15F002,10,269,0.007434944
L15F008,Female,09/09/2016,05/06/2017,50,82,Lonely 15,8,L15F002,10,269,0.118959108
L15F009,Female,09/09/2016,05/06/2017,53,82,Lonely 15,8,L15F002,10,269,0.107806691
L16F008,Female,16/09/2016,27/06/2017,72,97,Lonely 16,9,L16F001,12,284,0.088028169
L16F009,Female,16/09/2016,28/06/2017,66,87,Lonely 16,9,L16F001,12,285,0.073684211
L16F013,Female,17/09/2016,28/06/2017,36,82,Lonely 16,9,L16F001,12,284,0.161971831
L18F004,Female,14/03/2014,30/09/2014,80,87,Lonely 18,14,L18F002,9,200,0.035
L18F007,Female,14/03/2014,30/09/2014,73,83,Lonely 18,14,L18F002,9,200,0.05
L18F008,Female,14/03/2014,01/10/2014,65,83,Lonely 18,14,L18F002,9,201,0.089552239
L18F008,Female,04/03/2016,16/09/2016,97,103,Lonely 18,5,L18F002,3,196,0.030612245
L18F008,Female,16/09/2016,27/06/2017,103,101,Lonely 18,3,L18F002,7,284,-0.007042254
L18F009,Female,15/03/2014,01/10/2014,78,85,Lonely 18,14,L18F002,9,200,0.035
L18F010,Female,15/03/2014,30/09/2014,92,97,Lonely 18,14,L18F002,9,199,0.025125628
L18F014,Female,01/03/2016,30/05/2016,100,105,Lonely 18,5,L18F002,1,90,0.055555556
L18F014,Female,30/05/2016,31/01/2017,105,119,Kuruman 14,1,NA,1,246,0.056910569
L18F014,Female,31/01/2017,09/08/2017,119,107,Kuruman 14,1,NA,1,190,-0.063157895
L18F014,Female,09/08/2017,13/04/2018,107,119,Kuruman 14,1,NA,1,247,0.048582996
L20F001,Female,06/10/2016,21/07/2017,87,101,Lonely 20,11,L20F010,10,288,0.048611111
L20F005,Female,07/10/2016,20/07/2017,91,114,Lonely 20,11,L20F010,10,286,0.08041958
L26F002,Female,06/10/2016,15/07/2017,86,102,Lonely 26,10,L26F007,10,282,0.056737589
L26F004,Female,06/10/2016,13/07/2017,96,104,Lonely 26,10,L26F007,1,280,0.028571429
L26F010,Female,08/10/2016,16/07/2017,23,89,Lonely 26,10,L26F007,10,281,0.234875445
L40F013,Female,23/09/2016,21/06/2017,107,119,Lonely 40,10,L40F006,12,271,0.044280443
L40F014,Female,23/09/2016,21/06/2017,67,87,Lonely 40,10,L40F006,12,271,0.073800738
L45F001,Female,01/04/2014,30/09/2014,130,148,Lonely 45,1,NA,1,182,0.098901099
L46F010,Female,29/02/2016,17/09/2016,51,93,Lonely 46,10,L46F002,10,201,0.208955224
L46F010,Female,17/09/2016,21/07/2017,93,104,Lonely 46,10,L46F002,1,307,0.035830619
L46F011,Female,01/03/2016,16/09/2016,53,92,Lonely 46,10,L46F002,10,199,0.195979899
L46F011,Female,16/09/2016,27/06/2017,92,103,Lonely 46,10,L46F002,12,284,0.038732394
L46F012,Female,01/03/2016,16/09/2016,54,99,Lonely 46,10,L46F002,10,199,0.226130653
L46F014,Female,02/03/2016,16/09/2016,81,111,Lonely 46,10,L46F002,10,198,0.151515152
L46F017,Female,16/09/2016,27/06/2017,68,85,Lonely 46,10,L46F002,12,284,0.059859155
L47F001,Female,26/06/2014,13/03/2015,151,173,Lonely 47,1,NA,1,260,0.084615385
L54F001,Female,30/09/2014,27/03/2015,136,142,Lonely 54,1,NA,1,178,0.033707865
L54F001,Female,27/03/2015,02/03/2016,142,147,Lonely 54,1,NA,1,341,0.014662757
L62F001,Female,09/02/2016,09/09/2016,58,102,Lonely 62,6,L14F004,6,213,0.20657277
L62F002,Female,09/02/2016,09/09/2016,33,95,Lonely 62,6,L14F004,6,213,0.291079812
L62F002,Female,09/09/2016,05/06/2017,95,111,Lonely 62,6,L14F004,6,269,0.059479554
L62M004,Female,10/02/2016,10/09/2016,31,69,Lonely 62,6,L14F004,6,213,0.178403756
